ID,Partnership Organization Name,"Department, Center, Institute Name of the Partnership Organization",Organization Type,Description of Partnership Activity,Partner's website and/or contact information,DWR Division/ Office/ Branch,Relevant DWR Program(s) and/ or Project(s),Main DWR Point of Contact,Partnership Type,How actively is DWR engaged in this partnership?,Status of Partnership,Relevant Contract/ Agreement,Total Contract Amount,Total Contract Amount v2,DWR Investments,Science and Technology Fields,Link to Main Product(s),Link to Secondary Product,DWR Strategic Plan Alignment,Has this partnership had any challenges or barriers?,"Are there opportunities to expand or improve this partnership? If so, what would be needed?",Modified,Modified By
56,"[""Sunrise Water Institute""]",,"[""University""]",New partnership for collaborative research.,https://example-new-0.org,Flood Operations,"[""Climate Change Program""]","Smith, Jordan@DWR","[""Scientific Research""]",Active,"[""Active""]",,,,"[""Financial Support""]","[""Hydrology""]",,,Goal 1,,,4/29/2026 10:00,"Smith, Jordan"
57,"[""Coastal Hydro Group""]",,"[""University""]",New partnership for collaborative research.,https://example-new-1.org,Planning,"[""Climate Change Program""]","Garcia, Maria@DWR","[""Scientific Research""]",Active,"[""Active""]",,,,"[""Financial Support""]","[""Water Quality""]",,,Goal 1,,,4/29/2026 10:00,"Garcia, Maria"
58,"[""Prairie Stream Alliance""]",,"[""University""]",New partnership for collaborative research.,https://example-new-2.org,SWP – Modeling Support,"[""Climate Change Program""]","Chen, David@DWR","[""Scientific Research""]",Active,"[""Active""]",,,,"[""Financial Support""]","[""Aquatic Ecology""]",,,Goal 1,,,4/29/2026 10:00,"Chen, David"
59,"[""Ridgeline Environmental""]",,"[""University""]",New partnership for collaborative research.,https://example-new-3.org,Healthy Rivers and Landscapes,"[""Climate Change Program""]","Patel, Priya@DWR","[""Scientific Research""]",Active,"[""Active""]",,,,"[""Financial Support""]","[""Climatology""]",,,Goal 1,,,4/29/2026 10:00,"Patel, Priya"
60,"[""Lowland Ecology Center""]",,"[""University""]",New partnership for collaborative research.,https://example-new-4.org,DRA – Southern Region,"[""Climate Change Program""]","Johnson, Alex@DWR","[""Scientific Research""]",Active,"[""Active""]",,,,"[""Financial Support""]","[""Groundwater""]",,,Goal 1,,,4/29/2026 10:00,"Johnson, Alex"



















